start_date,end_date,rows_affected,seconds
2020-01-01,2020-01-02,1,2.05
2020-01-02,2020-01-03,32005,3.32
2020-01-03,2020-01-04,33674,3.23
2020-01-04,2020-01-05,35043,3.51
2020-01-05,2020-01-06,37031,3.52
2020-01-06,2020-01-07,38084,3.59
2020-01-07,2020-01-08,39627,3.84
2020-01-08,2020-01-09,40927,4.28
2020-01-09,2020-01-10,42117,4.32
2020-01-10,2020-01-11,43789,4.66
2020-01-11,2020-01-12,43949,4.9
2020-01-12,2020-01-13,45426,5.68
2020-01-13,2020-01-14,46548,5.11
2020-01-14,2020-01-15,47258,5.13
2020-01-15,2020-01-16,47962,5.79
2020-01-16,2020-01-17,48903,5.54
2020-01-17,2020-01-18,49504,6.56
2020-01-18,2020-01-19,49926,6.01
2020-01-19,2020-01-20,51225,7.93
2020-01-20,2020-01-21,51554,7.81
2020-01-21,2020-01-22,51983,8.55
2020-01-22,2020-01-23,52519,8.3
2020-01-23,2020-01-24,52538,8.57
2020-01-24,2020-01-25,53261,9.02
2020-01-25,2020-01-26,53677,8.68
2020-01-26,2020-01-27,54352,8.45
2020-01-27,2020-01-28,54501,8.46
2020-01-28,2020-01-29,55553,7.97
2020-01-29,2020-01-30,54902,8.36
2020-01-30,2020-01-31,55668,7.56
2020-01-31,2020-02-01,56279,8.28
